State_name,State_code,Year,Population,Sex,Median_household_income,Age_label,Age_group
Alabama,01,2022,62827,0,59674.0,35,31-45
Alabama,01,2023,64362,0,62212.0,35,31-45
Alabama,01,2021,62723,0,53913.0,36,31-45
Alabama,01,2022,62742,0,59674.0,36,31-45
Alabama,01,2023,63238,0,62212.0,36,31-45
Alabama,01,2021,61396,0,53913.0,37,31-45
Alabama,01,2022,62849,0,59674.0,37,31-45
Alabama,01,2023,62988,0,62212.0,37,31-45
Alabama,01,2021,62727,0,53913.0,38,31-45
Alabama,01,2022,61729,0,59674.0,38,31-45
Alabama,01,2023,63208,0,62212.0,38,31-45
Alabama,01,2021,63140,0,53913.0,39,31-45
Alabama,01,2022,62712,0,59674.0,39,31-45
Alabama,01,2023,61800,0,62212.0,39,31-45
Alabama,01,2021,63141,0,53913.0,40,31-45
Alabama,01,2022,63262,0,59674.0,40,31-45
Alabama,01,2023,62851,0,62212.0,40,31-45
Alabama,01,2021,63520,0,53913.0,41,31-45
Alabama,01,2022,63465,0,59674.0,41,31-45
Alabama,01,2023,63756,0,62212.0,41,31-45
Alabama,01,2021,61052,0,53913.0,42,31-45
Alabama,01,2022,63633,0,59674.0,42,31-45
Alabama,01,2023,63508,0,62212.0,42,31-45
Alabama,01,2021,60408,0,53913.0,43,31-45
Alabama,01,2022,61291,0,59674.0,43,31-45
Alabama,01,2023,64058,0,62212.0,43,31-45
Alabama,01,2021,60202,0,53913.0,44,31-45
Alabama,01,2022,60566,0,59674.0,44,31-45
Alabama,01,2023,61428,0,62212.0,44,31-45
Alabama,01,2021,57714,0,53913.0,45,31-45
Alabama,01,2022,60107,0,59674.0,45,31-45
Alabama,01,2023,60548,0,62212.0,45,31-45
Alabama,01,2021,59046,0,53913.0,46,46-60
Alabama,01,2022,57886,0,59674.0,46,46-60
Alabama,01,2023,60209,0,62212.0,46,46-60
Alabama,01,2021,59068,0,53913.0,47,46-60
Alabama,01,2022,59196,0,59674.0,47,46-60
Alabama,01,2023,58168,0,62212.0,47,46-60
Alabama,01,2021,60718,0,53913.0,48,46-60
Alabama,01,2022,59108,0,59674.0,48,46-60
Alabama,01,2023,59160,0,62212.0,48,46-60
Alabama,01,2021,64109,0,53913.0,49,46-60
Alabama,01,2022,60794,0,59674.0,49,46-60
Alabama,01,2023,59241,0,62212.0,49,46-60
Alabama,01,2021,67789,0,53913.0,50,46-60
Alabama,01,2022,63915,0,59674.0,50,46-60
Alabama,01,2023,60692,0,62212.0,50,46-60
Alabama,01,2021,65755,0,53913.0,51,46-60
Alabama,01,2022,68023,0,59674.0,51,46-60
Alabama,01,2023,64276,0,62212.0,51,46-60
Alabama,01,2021,62742,0,53913.0,52,46-60
Alabama,01,2022,65923,0,59674.0,52,46-60
Alabama,01,2023,68132,0,62212.0,52,46-60
Alabama,01,2021,61233,0,53913.0,53,46-60
Alabama,01,2022,62666,0,59674.0,53,46-60
Alabama,01,2023,65820,0,62212.0,53,46-60
Alabama,01,2021,61855,0,53913.0,54,46-60
Alabama,01,2022,61344,0,59674.0,54,46-60
Alabama,01,2023,62717,0,62212.0,54,46-60
Alabama,01,2021,63199,0,53913.0,55,46-60
Alabama,01,2022,61685,0,59674.0,55,46-60
Alabama,01,2023,61348,0,62212.0,55,46-60
Alabama,01,2021,66539,0,53913.0,56,46-60
Alabama,01,2022,63172,0,59674.0,56,46-60
Alabama,01,2023,61567,0,62212.0,56,46-60
Alabama,01,2021,68137,0,53913.0,57,46-60
Alabama,01,2022,66205,0,59674.0,57,46-60
Alabama,01,2023,63053,0,62212.0,57,46-60
Alabama,01,2021,68107,0,53913.0,58,46-60
Alabama,01,2022,67804,0,59674.0,58,46-60
Alabama,01,2023,66021,0,62212.0,58,46-60
Alabama,01,2021,68865,0,53913.0,59,46-60
Alabama,01,2022,67786,0,59674.0,59,46-60
Alabama,01,2023,67688,0,62212.0,59,46-60
Alabama,01,2021,68630,0,53913.0,60,46-60
Alabama,01,2022,68379,0,59674.0,60,46-60
